startup_id,startup_name,industry,funding_stage,city,month,revenue,marketing_spend,tech_spend,hr_spend,operations_spend,other_spend,total_expense,cash_in_bank,burn_rate,runway_months,employee_count,customer_acquisition_cost,churn_rate,health_score,risk_level
1,NovaGrid,FinTech,Seed,Pune,2025-01,507638,173500,260638,72657,59494,68823,635112,1900222,127474,3.0,107,6481.3,10.3,25.9,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-02,508014,214688,116395,157733,127651,18801,635268,1788928,127254,2.8,113,6158.38,8.73,26.1,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-03,542269,211142,150669,71505,62490,43419,539225,1769927,-3044,3.3,108,3725.6,9.87,32.9,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-04,576321,190398,113186,127519,63746,51113,545962,1815278,-30359,3.3,110,2470.59,8.62,43.6,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-05,581864,195788,111825,96891,181151,29630,615285,1808249,33421,2.9,116,2611.5,2.4,42.8,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-06,659091,258845,273563,80789,131924,53374,798495,1645268,139404,2.1,115,7316.8,8.42,24.8,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-07,693622,194865,112269,126448,59471,51481,544534,1815912,-149088,3.3,123,3776.74,7.42,48.4,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-08,697473,336348,138026,147336,112283,24453,758445,1748209,60972,2.3,116,3706.13,4.2,37.4,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-09,714764,245615,135383,154389,133309,68485,737181,1743099,22417,2.4,120,6071.0,5.46,40.6,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-10,699470,293563,155922,96413,137592,52434,735923,1714146,36453,2.3,109,8164.14,2.88,42.1,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-11,667033,284984,160136,176536,69047,50896,741599,1631846,74566,2.2,127,4469.7,7.43,33.1,Critical
1,NovaGrid,FinTech,Seed,Pune,2025-12,781017,313144,124025,85606,145559,28497,696830,1702190,-84187,2.4,110,6615.48,5.87,39.6,Critical
2,AeroNest,HealthTech,Series A,Bengaluru,2025-01,1084540,273745,172351,182054,126750,44699,799599,4880198,-284941,6.1,150,4228.78,5.53,67.0,Warning
2,AeroNest,HealthTech,Series A,Bengaluru,2025-02,1230959,168082,171111,126624,155661,26781,648259,5473964,-582700,8.4,155,6126.91,8.7,92.5,Warning
2,AeroNest,HealthTech,Series A,Bengaluru,2025-03,1155334,263366,303260,126964,61943,52645,808178,5829340,-347156,7.2,151,4673.08,8.67,67.9,Warning
2,AeroNest,HealthTech,Series A,Bengaluru,2025-04,1180757,157630,237922,196623,169647,37510,799334,6213764,-381423,7.8,164,4653.31,5.77,78.3,Warning
2,AeroNest,HealthTech,Series A,Bengaluru,2025-05,1310074,282117,220119,141984,135010,19797,799026,6753363,-511048,8.5,157,1252.15,5.28,82.8,Warning
2,AeroNest,HealthTech,Series A,Bengaluru,2025-06,1264237,111045,241015,179784,75202,64619,671666,7372569,-592571,11.0,163,8075.21,2.65,100.0,Warning
2,AeroNest,HealthTech,Series A,Bengaluru,2025-07,1389396,178827,141527,201727,111588,17569,651238,8094975,-738158,12.4,152,4254.44,1.67,100.0,Safe
2,AeroNest,HealthTech,Series A,Bengaluru,2025-08,1362761,279492,121933,154196,101201,60566,717387,8710614,-645374,12.1,161,4759.13,3.87,100.0,Safe
2,AeroNest,HealthTech,Series A,Bengaluru,2025-09,1477249,187685,275307,208459,136089,67225,874765,9316872,-602484,10.7,162,7842.8,10.16,85.3,Warning
